TRADING_DATE,A B B,Amara Raja Batt.,Atul,Bajaj Electrical,Bata India,Blue Star,Disa India,Exide Inds.,CRISIL,CG Power & Indu.,Wyeth,Dabur India,Titan Company,Dr Reddy's Labs,Merck,Finolex Cables,Godfrey Phillips,Kansai Nerolac,Goodyear India,GHCL
3/29/2016,1201.738525,872.8362482,1467.079859,188.2909919,492.7711797,367.6691253,3621.179529,130.6572489,1724.780204,47.9,,236.3538101,327.4826816,2881.964224,616.2272158,259.5324391,1135.604245,273.8536503,454.5583354,106.0080084
3/30/2016,1223.396382,878.5126701,1467.869249,188.9812443,494.8352456,369.0017963,3764.468999,133.7036614,1729.729152,48.7,,238.3346985,335.211471,2948.554267,621.3240144,282.5954465,1171.66527,274.293458,456.2754497,108.7976928
3/31/2016,1265.274849,868.2951106,1520.412968,187.699347,498.3736445,378.7253588,3797.420585,135.0576226,1729.921344,49.2,,240.7504161,335.7069063,2969.788711,623.993766,275.1367718,1163.053682,275.1242061,458.5649356,108.8922584
4/1/2016,1279.895142,876.8344236,1503.145079,195.735857,495.9164231,389.5348015,3952.692449,136.3632279,1708.588018,48.85,,242.0065893,337.1932119,2916.017618,627.6343364,281.8103229,1167.163758,275.7106165,474.3051508,114.3770617
4/4/2016,1294.267633,891.9386419,1520.314295,204.166797,513.706706,388.8931451,4016.598554,136.7017182,1737.657077,49.85,,240.5571587,341.5034984,2950.364576,631.2749068,282.2028847,1118.576787,275.2708087,486.2295562,114.4716272
4/5/2016,1270.528242,875.7484994,1574.091435,204.9556568,502.6492097,387.5111159,4003.11836,130.5121816,1734.485907,49.1,,237.3200971,342.5934558,2931.723279,631.0322021,280.4363565,1120.289318,275.0753386,474.6867317,109.9797625
4/6/2016,1300.363552,864.494376,1607.393793,211.9074845,505.7453087,389.2386524,3856.334025,130.8506719,1760.239652,50,,239.2526712,344.7238273,2935.588535,626.6635176,278.7188985,1130.955944,274.3911931,464.4794407,112.0602051
4/7/2016,1296.150925,854.6223379,1651.500915,215.3094427,514.3455836,387.9059814,3894.278275,129.7384896,1821.500893,51.1,,239.3976143,335.7069063,2966.363801,627.3916317,275.2839825,1128.5584,274.7821334,467.5320885,110.7835698
4/8/2016,1330.198862,851.9568876,1638.772014,211.2172321,518.3754267,391.7065617,3904.263604,130.0286241,1871.13451,50.7,,241.3301884,332.7342949,2970.669402,627.148927,276.2163168,1124.595112,275.026471,468.7722267,110.5944387
4/11/2016,1369.747993,879.3517933,1673.455803,208.8999562,524.3710469,390.5713234,3904.263604,130.0286241,1801.705104,52.3,,243.890849,341.4044113,2963.623872,625.2072894,275.7256145,1160.313631,274.3423256,469.6307838,118.3960985
4/12/2016,1349.775186,883.152528,1685.099294,213.9289379,525.4030799,394.174471,3914.248933,131.1891622,1820.732124,52.95,,252.9739472,347.448721,3016.661056,629.5759739,275.6274741,1179.591845,274.4889282,486.5157419,116.3629387
4/13/2016,1343.861441,888.7302295,1705.820761,213.2879893,534.7405212,401.084617,3814.89491,129.7868453,1833.705093,53.95,,257.757068,350.5204194,3034.079171,630.304088,277.1977214,1199.016848,284.5556398,497.104614,116.2210903
4/18/2016,1332.530903,925.5529316,1778.987274,220.1412095,541.9647521,401.5781988,3894.278275,129.1098647,1905.921285,55.2,,264.1345625,357.2087949,3025.174404,633.7019537,276.3635275,1177.24323,297.3100657,490.4269469,122.509701
